feature,importance,importance_pct,rank
veg_fast_band_width,26,16.99,1
veg_slow_band_width,17,11.11,2
veg_price_position,16,10.46,3
relative_strength,15,9.8,4
atr_pct,13,8.5,5
hull_value,8,5.23,6
macd_line,6,3.92,7
return_10d,6,3.92,8
stoch_k,5,3.27,9
spy_return_15d,5,3.27,10
return_5d,5,3.27,11
rsi,5,3.27,12
hull_slope,4,2.61,13
macd_hist,4,2.61,14
veg_filter_slope,4,2.61,15
month,3,1.96,16
signal_line,3,1.96,17
bb_width,2,1.31,18
stoch_d,2,1.31,19
return_3d,2,1.31,20
quarter,1,0.65,21
volume_ratio,1,0.65,22
veg_signal,0,0.0,23
rsi_overbought,0,0.0,24
macd_crossover,0,0.0,25
macd_bullish,0,0.0,26
hull_signal,0,0.0,27
stoch_bullish,0,0.0,28
day_of_week,0,0.0,29
return_1d,0,0.0,30
return_20d,0,0.0,31
