iter	MultiClass
0	1.195604183
1	1.0580045
2	0.955527684
3	0.8491655737
4	0.7682743938
5	0.7020039919
6	0.6419533374
7	0.59802033
8	0.5509870448
9	0.5189700637
10	0.4840108071
11	0.4558573137
12	0.4278986942
13	0.4004994607
14	0.3776060913
15	0.3575521347
16	0.3383923667
17	0.3236767785
18	0.3072741767
19	0.2959500029
20	0.2830871772
21	0.2730240907
22	0.262047535
23	0.2534092728
24	0.2450854177
25	0.2351321044
26	0.2300468322
27	0.2240319044
28	0.2163118647
29	0.2110480375
30	0.206828636
31	0.2017387859
32	0.1939138452
33	0.1918632173
34	0.1868661034
35	0.1798078751
36	0.1759449986
37	0.172018652
38	0.1681377168
39	0.1652034654
40	0.1630006724
41	0.1601644159
42	0.1583704389
43	0.1534486748
44	0.1500087188
45	0.1478040389
46	0.1443379653
47	0.1419689501
48	0.1400079019
49	0.1362504147
50	0.134157709
51	0.1314200001
52	0.1289858831
53	0.1277592672
54	0.1268001996
55	0.1232527355
56	0.1202358127
57	0.1175991726
58	0.116069664
59	0.1147934448
60	0.113430891
61	0.1122868331
62	0.1117155143
63	0.1100456542
64	0.1084711825
65	0.1060936321
66	0.1039049034
67	0.1021571587
68	0.1008005959
69	0.09969395091
70	0.09791151773
71	0.0967293136
72	0.09599493415
73	0.09447861156
74	0.09336806222
75	0.09225072337
76	0.09168185543
77	0.09024785959
78	0.08912423925
79	0.08740537121
80	0.085614021
81	0.08521642566
82	0.08276235496
83	0.08126577408
84	0.08046485623
85	0.07948544638
86	0.07852201356
87	0.07770689907
88	0.076657644
89	0.07585183253
90	0.07488503114
91	0.07354872195
92	0.07291319574
93	0.07174564684
94	0.07107814308
95	0.07026103079
96	0.06951690823
97	0.0692442911
98	0.06887728861
99	0.06782499616
