iter	Passed	Remaining
0	4	457
1	8	407
2	12	396
3	15	383
4	19	367
5	22	357
6	27	358
7	30	353
8	34	347
9	37	341
10	41	339
11	45	333
12	49	327
13	52	322
14	56	317
15	59	313
16	63	309
17	67	305
18	70	301
19	74	297
20	77	291
21	81	287
22	84	282
23	87	277
24	91	274
25	95	270
26	98	265
27	102	262
28	106	259
29	109	255
30	112	250
31	116	246
32	119	242
33	123	238
34	126	234
35	129	230
36	133	226
37	136	222
38	140	219
39	143	215
40	147	212
41	151	208
42	154	205
43	158	201
44	161	197
45	164	193
46	168	190
47	171	186
48	174	182
49	178	178
50	181	174
51	184	170
52	188	167
53	191	163
54	194	159
55	198	155
56	201	151
57	204	148
58	207	144
59	210	140
60	214	136
61	217	133
62	220	129
63	224	126
64	227	122
65	231	119
66	234	115
67	237	111
68	241	108
69	245	105
70	248	101
71	252	98
72	256	94
73	259	91
74	263	87
75	266	84
76	269	80
77	273	77
78	277	73
79	280	70
80	284	66
81	287	63
82	291	59
83	294	56
84	298	52
85	301	49
86	304	45
87	308	42
88	311	38
89	315	35
90	319	31
91	323	28
92	326	24
93	330	21
94	334	17
95	338	14
96	341	10
97	345	7
98	348	3
99	351	0
